date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2022-12-14,SHORT,13:00,13:05,18671.9,18681.0,-9.1,50,-455.0,SIGNAL_FLIP
2022-12-14,LONG,13:10,13:25,18680.8,18673.9,-6.9,50,-345.0,SIGNAL_FLIP
2022-12-14,SHORT,13:30,15:05,18673.4,18667.6,5.8,50,290.0,SIGNAL_FLIP
2022-12-14,LONG,15:10,15:10,18667.1,18667.1,0.0,50,0.0,TIME_EXIT
2022-12-16,LONG,12:25,13:45,18365.9,18334.2,-31.7,50,-1585.0,SIGNAL_FLIP
2022-12-16,SHORT,13:50,15:10,18334.6,18260.3,74.3,50,3715.0,TIME_EXIT
2022-12-19,LONG,10:00,13:00,18312.4,18331.3,18.9,50,945.0,SIGNAL_FLIP
2022-12-19,SHORT,13:05,13:40,18330.1,18366.1,-36.0,50,-1800.0,SIGNAL_FLIP
2022-12-19,LONG,13:45,15:10,18366.7,18418.7,52.0,50,2600.0,TIME_EXIT
2022-12-20,LONG,12:25,15:10,18265.8,18399.6,133.8,50,6690.0,TIME_EXIT
2022-12-21,SHORT,10:30,11:45,18351.4,18373.8,-22.4,50,-1120.0,SIGNAL_FLIP
2022-12-21,LONG,11:50,12:00,18374.3,18350.3,-24.0,50,-1200.0,SIGNAL_FLIP
2022-12-21,SHORT,12:05,15:10,18350.6,18206.9,143.7,50,7185.0,TIME_EXIT
2022-12-22,LONG,13:20,14:45,18143.1,18100.7,-42.4,50,-2120.0,SIGNAL_FLIP
2022-12-22,SHORT,14:50,15:10,18100.6,18142.9,-42.3,50,-2115.0,TIME_EXIT
2022-12-27,SHORT,09:50,10:35,17972.6,18041.5,-68.9,50,-3445.0,SIGNAL_FLIP
2022-12-27,LONG,10:40,12:45,18042.3,18029.2,-13.1,50,-655.0,SIGNAL_FLIP
2022-12-27,SHORT,12:50,13:10,18029.4,18055.8,-26.4,50,-1320.0,SIGNAL_FLIP
2022-12-27,LONG,13:15,15:10,18055.7,18132.9,77.2,50,3860.0,TIME_EXIT
2022-12-28,SHORT,10:35,10:55,18097.7,18127.9,-30.2,50,-1510.0,SIGNAL_FLIP
2022-12-28,LONG,11:00,13:15,18127.4,18122.1,-5.3,50,-265.0,SIGNAL_FLIP
2022-12-28,SHORT,13:20,13:45,18121.8,18152.1,-30.3,50,-1515.0,SIGNAL_FLIP
2022-12-28,LONG,13:50,14:55,18152.2,18117.5,-34.7,50,-1735.0,SIGNAL_FLIP
2022-12-28,SHORT,15:00,15:10,18113.5,18125.7,-12.2,50,-610.0,TIME_EXIT
2022-12-29,LONG,11:55,12:20,18047.3,18023.9,-23.4,50,-1170.0,SIGNAL_FLIP
2022-12-29,SHORT,12:25,13:05,18023.0,18048.2,-25.2,50,-1260.0,SIGNAL_FLIP
2022-12-29,LONG,13:10,15:10,18046.9,18195.7,148.8,50,7440.0,TIME_EXIT
2022-12-30,SHORT,11:45,12:40,18209.8,18232.4,-22.6,50,-1130.0,SIGNAL_FLIP
2022-12-30,LONG,12:45,13:00,18232.2,18192.0,-40.2,50,-2010.0,SIGNAL_FLIP
2022-12-30,SHORT,13:05,15:10,18191.9,18098.3,93.6,50,4680.0,TIME_EXIT
2023-01-02,LONG,10:05,12:40,18163.8,18169.9,6.1,50,305.0,SIGNAL_FLIP
