date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2022-05-13,LONG,09:45,14:30,15915.5,15846.6,-68.9,50,-3445.0,SIGNAL_FLIP
2022-05-13,SHORT,14:30,15:15,15846.6,15767.2,79.4,50,3970.0,TIME_EXIT
2022-05-18,SHORT,15:00,15:15,16236.2,16256.5,-20.3,50,-1015.0,TIME_EXIT
2022-05-23,SHORT,14:45,15:15,16260.0,16191.7,68.3,50,3415.0,TIME_EXIT
2022-05-26,LONG,13:15,15:15,16128.8,16201.5,72.7,50,3635.0,TIME_EXIT
2022-05-31,SHORT,10:00,10:30,16591.8,16640.3,-48.5,50,-2425.0,SIGNAL_FLIP
2022-05-31,LONG,10:30,15:00,16640.3,16556.8,-83.5,50,-4175.0,SIGNAL_FLIP
2022-05-31,SHORT,15:00,15:15,16556.8,16578.2,-21.4,50,-1070.0,TIME_EXIT
2022-06-02,LONG,11:45,15:15,16552.3,16637.4,85.1,50,4255.0,TIME_EXIT
2022-06-03,SHORT,14:15,15:15,16644.9,16583.6,61.3,50,3065.0,TIME_EXIT
2022-06-06,LONG,13:45,15:15,16601.2,16563.7,-37.5,50,-1875.0,TIME_EXIT
2022-06-08,LONG,10:45,13:30,16453.2,16359.1,-94.1,50,-4705.0,SIGNAL_FLIP
2022-06-08,SHORT,13:30,15:15,16359.1,16335.4,23.7,50,1185.0,TIME_EXIT
2022-06-09,LONG,12:30,13:00,16398.2,16348.0,-50.2,50,-2510.0,SIGNAL_FLIP
2022-06-09,SHORT,13:00,13:45,16348.0,16374.5,-26.5,50,-1325.0,SIGNAL_FLIP
2022-06-09,LONG,13:45,15:15,16374.5,16481.8,107.3,50,5365.0,TIME_EXIT
2022-06-14,LONG,11:15,12:30,15834.1,15769.4,-64.7,50,-3235.0,SIGNAL_FLIP
2022-06-14,SHORT,12:30,15:15,15769.4,15742.0,27.4,50,1370.0,TIME_EXIT
2022-06-15,LONG,12:30,14:45,15769.5,15730.1,-39.4,50,-1970.0,SIGNAL_FLIP
2022-06-15,SHORT,14:45,15:15,15730.1,15682.9,47.2,50,2360.0,TIME_EXIT
2022-06-16,SHORT,10:30,15:15,15713.3,15348.2,365.1,50,18255.0,TIME_EXIT
2022-06-20,LONG,12:00,13:45,15330.2,15292.5,-37.7,50,-1885.0,SIGNAL_FLIP
2022-06-20,SHORT,13:45,15:15,15292.5,15368.9,-76.4,50,-3820.0,TIME_EXIT
2022-06-23,LONG,09:45,12:45,15563.3,15425.1,-138.2,50,-6910.0,SIGNAL_FLIP
2022-06-23,SHORT,12:45,14:30,15425.1,15585.2,-160.1,50,-8005.0,SIGNAL_FLIP
2022-06-23,LONG,14:30,15:15,15585.2,15577.5,-7.7,50,-385.0,TIME_EXIT
2022-06-28,LONG,14:00,15:15,15793.7,15874.8,81.1,50,4055.0,TIME_EXIT
2022-06-29,LONG,12:00,15:15,15808.8,15783.3,-25.5,50,-1275.0,TIME_EXIT
2022-06-30,SHORT,11:00,14:00,15775.2,15846.0,-70.8,50,-3540.0,SIGNAL_FLIP
2022-06-30,LONG,14:00,15:15,15846.0,15735.9,-110.1,50,-5505.0,TIME_EXIT
2022-07-01,LONG,15:00,15:15,15747.3,15764.0,16.7,50,835.0,TIME_EXIT
2022-07-05,SHORT,14:15,15:15,15870.8,15800.0,70.8,50,3540.0,TIME_EXIT
2022-07-06,LONG,12:30,15:15,15922.8,16008.0,85.2,50,4260.0,TIME_EXIT
2022-07-11,SHORT,09:45,13:30,16144.7,16191.3,-46.6,50,-2330.0,SIGNAL_FLIP
2022-07-11,LONG,13:30,15:15,16191.3,16199.0,7.7,50,385.0,TIME_EXIT
